magicc_variable,concentrations_unit
CO2,ppm
CH4,ppb
N2O,ppb
CF4,ppt
C2F6,ppt
C3F8,ppt
C4F10,ppt
C5F12,ppt
C6F14,ppt
C7F16,ppt
C8F18,ppt
CC4F8,ppt
HFC23,ppt
HFC32,ppt
HFC4310,ppt
HFC125,ppt
HFC134A,ppt
HFC143A,ppt
HFC152A,ppt
HFC227EA,ppt
HFC236FA,ppt
HFC245FA,ppt
HFC365MFC,ppt
NF3,ppt
SF6,ppt
SO2F2,ppt
CFC11,ppt
CFC12,ppt
CFC113,ppt
CFC114,ppt
CFC115,ppt
HCFC22,ppt
HCFC141B,ppt
HCFC142B,ppt
CH3CCl3,ppt
CCl4,ppt
CH3Cl,ppt
CH2Cl2,ppt
CHCl3,ppt
CH3Br,ppt
HALON1211,ppt
HALON1301,ppt
HALON2402,ppt
HALON1202,ppt
